rank,image,split,gt_dir,n_gt_components,n_gt_nets,n_gt_terminal_pairs,gt_outlier_margin,inter_system_mean_f1,mean_vs_gt_f1,consensus_extra,consensus_missing,consensus_delta,pipeline_tp_f1,pipeline_net_f1,pipeline_nged,pipeline_unmatched_gt,pipeline_missing_pairs,pipeline_extra_pairs,pipeline_n_nets,pipeline_net_delta,pipeline_mode,claude_tp_f1,claude_net_f1,claude_nged,claude_unmatched_gt,claude_missing_pairs,claude_extra_pairs,claude_n_nets,claude_net_delta,claude_mode,openai_tp_f1,openai_net_f1,openai_nged,openai_unmatched_gt,openai_missing_pairs,openai_extra_pairs,openai_n_nets,openai_net_delta,openai_mode,f1_pipe_claude,f1_pipe_openai,f1_claude_openai,consensus_extra_pairs,consensus_missing_pairs
53,circuit_689.jpg,val,data/gt_val_1024,15,9,65,-0.0613,0.5797,0.6411,8,2,10,0.7344,0.8732,0.3058,0,18,16,10,1,split,0.6294,0.7606,0.1478,0,20,33,9,0,weld,0.5594,0.6479,0.2333,0,25,38,9,0,weld,0.539,0.4823,0.7179,c0.t0~c1014.t0; c1.t0~c1014.t0; c1.t1~c1014.t1; c10.t0~c1014.t2; c11.t0~c1014.t0; c2.t0~c1014.t0; +2 more,c4.t0~c12.t0; c4.t0~c6.t0
54,circuit_415.jpg,val,data/gt_val_1024,15,9,65,-0.073,0.3838,0.4568,1,18,19,0.4567,0.7027,0.4286,0,36,33,11,2,split,0.4138,0.5946,0.3492,0,35,50,13,4,weld,0.5,0.6486,0.3594,0,35,25,13,4,split,0.4085,0.4615,0.2815,c3.t2~c9.t1,c3.t1~c10.t1; c3.t1~c12.t0; c3.t1~c13.t0; c3.t1~c14.t0; c3.t1~c4.t0; c3.t1~c7.t1; +12 more
55,circuit_953.jpg,val,data/gt_val_1024,25,17,80,-0.0759,0.8143,0.8902,0,0,0,0.9689,0.9811,0.3298,0,2,3,17,0,weld,0.8052,0.9245,0.3474,0,18,12,18,1,split,0.8966,0.9623,0.3089,0,15,0,19,2,split,0.7742,0.863,0.8058,,
56,circuit_492.jpg,val,data/gt_val_1024,23,17,63,-0.089,0.445,0.5339,1,11,12,0.3974,0.6531,0.3793,0,32,62,15,-2,weld,0.5229,0.6939,0.3409,0,23,50,16,-1,weld,0.6815,0.8163,0.4157,0,17,26,18,1,weld,0.4153,0.3394,0.5802,c3.t2~c17.t2,c0.t1~c9.t0; c1.t0~c5.t0; c12.t1~c17.t2; c17.t2~c19.t1; c17.t2~c22.t1; c2.t2~c19.t0; +5 more
57,circuit_808.jpg,val,data/gt_val_1024,24,12,106,-0.0952,0.6132,0.7084,9,8,17,0.3704,0.625,0.4913,2,76,26,17,5,split,0.8774,0.8542,0.2982,2,13,13,14,2,balanced,0.8774,0.8542,0.3684,2,13,13,14,2,balanced,0.4198,0.4198,1.0,c1023.t1~c1024.t1; c14.t1~c1025.t1; c15.t1~c1023.t1; c15.t1~c1024.t1; c16.t1~c1024.t0; c17.t2~c1025.t1; +3 more,c15.t1~c18.t1; c15.t1~c22.t1; c16.t1~c22.t0; c18.t0~c21.t1; c18.t1~c22.t1; c2.t1~c11.t0; +2 more
58,circuit_576.jpg,val,data/gt_val_1024,14,10,45,-0.1128,0.7539,0.8667,0,0,0,0.7965,0.8696,0.3017,0,0,23,9,-1,weld,1.0,0.9565,0.2562,0,0,0,13,3,balanced,0.8037,0.8696,0.2087,0,2,19,9,-1,weld,0.7965,0.6615,0.8037,,
59,circuit_932.jpg,val,data/gt_val_1024,18,14,60,-0.1147,0.305,0.4197,0,16,16,0.7327,0.8889,0.4255,1,23,4,15,1,split,0.1786,0.4938,0.3582,1,45,93,14,0,weld,0.3478,0.5432,0.3077,1,32,73,9,-5,weld,0.1745,0.3099,0.4306,,c0.t1~c2.t1; c10.t1~c11.t0; c10.t1~c12.t0; c10.t1~c13.t0; c11.t0~c12.t0; c11.t0~c13.t0; +10 more
60,circuit_904.jpg,val,data/gt_val_1024,18,6,118,-0.116,0.4578,0.5738,0,11,11,0.24,0.4638,0.2017,1,97,36,11,5,split,0.5302,0.7536,0.1913,1,61,40,7,1,split,0.9511,0.9855,0.0175,1,11,0,6,0,split,0.5584,0.2561,0.5588,,c0.t0~c17.t0; c1.t0~c17.t0; c12.t0~c17.t0; c13.t0~c17.t0; c15.t0~c17.t0; c16.t0~c17.t0; +5 more
61,circuit_297.jpg,val,data/gt_val_1024,23,15,79,-0.1267,0.5121,0.6388,3,13,16,0.8919,0.9388,0.3029,0,13,3,16,1,split,0.4654,0.7143,0.3182,0,42,43,17,2,weld,0.5591,0.7959,0.3448,0,27,55,16,1,weld,0.5369,0.625,0.3743,c11.t1~c15.t0; c12.t2~c15.t0; c15.t1~c20.t0,c11.t0~c15.t0; c11.t0~c20.t0; c11.t1~c15.t1; c12.t2~c15.t1; c14.t1~c15.t0; c14.t1~c20.t0; +7 more
62,circuit_1201.jpg,val,data/gt_val_1024,22,14,82,-0.1284,0.5828,0.7112,4,1,5,0.7067,0.8817,0.3659,0,29,15,15,1,split,0.825,0.9462,0.227,0,16,12,14,0,split,0.6019,0.7957,0.2437,0,17,69,13,-1,weld,0.726,0.4752,0.5472,c12.t2~c1021.t0; c18.t1~c1021.t0; c20.t0~c1021.t0; c7.t0~c1021.t0,c3.t0~c3.t1
63,circuit_1272.jpg,val,data/gt_val_1024,15,10,61,-0.1315,0.6639,0.7954,0,0,0,0.7143,0.8235,0.2542,0,21,11,10,0,split,0.9531,0.9412,0.1897,0,0,6,9,-1,weld,0.7188,0.7941,0.3162,0,15,21,9,-1,weld,0.678,0.6271,0.6866,,
64,circuit_995.jpg,val,data/gt_val_1024,18,8,76,-0.1318,0.5375,0.6692,0,2,2,0.8,0.9118,0.1074,0,20,8,9,1,split,0.6182,0.7353,0.1897,0,8,76,6,-2,weld,0.5895,0.7059,0.1525,0,20,58,6,-2,weld,0.4808,0.4494,0.6822,,c0.t1~c13.t0; c0.t1~c7.t0
65,circuit_468.jpg,val,data/gt_val_1024,14,7,53,-0.1378,0.5161,0.6539,8,0,8,0.2241,0.3333,0.3864,0,27,153,4,-3,weld,0.8689,0.9259,0.1183,0,0,16,6,-1,weld,0.8689,0.9259,0.1183,0,0,16,6,-1,weld,0.2742,0.2742,1.0,c12.t0~c12.t1; c12.t0~c13.t1; c12.t1~c13.t0; c13.t0~c13.t1; c4.t1~c12.t1; c4.t1~c13.t1; +2 more,
66,circuit_963.jpg,val,data/gt_val_1024,14,11,41,-0.1509,0.3203,0.4712,0,4,4,0.4505,0.6471,0.4224,0,16,45,9,-2,weld,0.4516,0.6471,0.3652,0,13,55,10,-1,weld,0.5116,0.6765,0.3667,0,19,23,13,2,weld,0.3791,0.1913,0.3906,,c5.t0~c12.t1; c5.t0~c6.t2; c5.t1~c11.t1; c6.t2~c12.t1
67,circuit_961.jpg,val,data/gt_val_1024,24,13,100,-0.1557,0.4459,0.6016,0,11,11,0.1757,0.5161,0.5298,1,87,35,16,3,split,0.9418,0.9892,0.1687,1,11,0,13,0,split,0.6872,0.7957,0.4303,1,33,28,12,-1,split,0.1898,0.4196,0.7283,,c1.t0~c19.t0; c14.t0~c19.t0; c19.t0~c20.t0; c19.t0~c21.t0; c19.t0~c22.t0; c19.t0~c23.t0; +5 more
68,circuit_886.jpg,val,data/gt_val_1024,24,16,71,-0.1645,0.4982,0.6627,3,0,3,0.953,0.9709,0.4022,0,0,7,16,0,weld,0.3125,0.6019,0.5183,0,51,37,23,7,split,0.7226,0.7573,0.4108,0,15,28,18,2,weld,0.3407,0.7284,0.4255,c2.t2~c1023.t0; c22.t1~c1023.t2; c4.t2~c1023.t1,
69,circuit_472.jpg,val,data/gt_val_1024,16,12,43,-0.169,0.6033,0.7723,0,0,0,0.6947,0.8286,0.3548,0,10,19,11,-1,weld,0.8667,0.9429,0.3333,0,4,8,12,0,weld,0.7556,0.8286,0.1129,0,9,13,11,-1,weld,0.6465,0.5253,0.6383,,
70,circuit_1016.jpg,val,data/gt_val_1024,15,8,77,-0.1695,0.5371,0.7065,0,8,8,0.4714,0.6761,0.4118,0,44,30,10,2,split,0.9306,0.9014,0.3833,0,10,0,12,4,split,0.7176,0.7324,0.2411,0,16,32,7,-1,weld,0.4769,0.3718,0.7625,,c1.t1~c6.t1; c1.t1~c8.t1; c4.t1~c6.t1; c4.t1~c8.t1; c6.t1~c11.t1; c6.t1~c7.t0; +2 more
71,circuit_563.jpg,val,data/gt_val_1024,15,9,65,-0.1712,0.4088,0.58,3,0,3,0.6331,0.8108,0.36,0,21,30,10,1,weld,0.4273,0.5405,0.4035,0,18,108,7,-2,weld,0.6797,0.7568,0.371,0,13,36,10,1,weld,0.3581,0.4568,0.4115,c0.t1~c1015.t0; c13.t0~c1015.t0; c14.t0~c1015.t0,
72,circuit_303.jpg,val,data/gt_val_1024,19,9,69,-0.1729,0.6117,0.7846,0,0,0,0.8571,0.9189,0.2576,0,12,7,10,1,split,0.6706,0.8108,0.2748,0,12,44,10,1,weld,0.8261,0.9189,0.3835,0,12,12,11,2,balanced,0.5455,0.7368,0.5529,,
73,circuit_1172.jpg,val,data/gt_val_1024,23,16,69,-0.1747,0.592,0.7666,0,0,0,0.9324,0.9703,0.3222,0,0,10,16,0,weld,0.8333,0.8515,0.3696,0,14,8,20,4,split,0.5342,0.7129,0.3222,0,26,49,17,1,weld,0.7746,0.5497,0.4516,,
74,circuit_1233.jpg,val,data/gt_val_1024,15,9,65,-0.1788,0.5782,0.757,0,2,2,0.8103,0.9118,0.1795,0,18,4,10,1,split,0.6667,0.7647,0.2456,0,22,21,9,0,split,0.7941,0.8824,0.287,0,11,17,8,-1,weld,0.5043,0.623,0.6074,,c2.t1~c11.t0; c2.t1~c8.t0
75,circuit_205.jpg,val,data/gt_val_1024,15,9,65,-0.1809,0.6118,0.7927,0,0,0,0.8793,0.9412,0.1795,0,14,0,10,1,split,0.6504,0.7059,0.2456,0,25,18,10,1,split,0.8485,0.9118,0.1304,0,9,11,9,0,weld,0.5138,0.7458,0.576,,
76,circuit_1244.jpg,val,data/gt_val_1024,24,13,100,-0.1824,0.4962,0.6785,0,7,7,0.2838,0.5833,0.5511,1,79,27,18,5,split,0.92,0.8958,0.289,1,8,8,15,2,balanced,0.8318,0.8333,0.1647,1,11,25,12,-1,weld,0.2703,0.321,0.8972,,c10.t1~c11.t0; c11.t0~c13.t1; c11.t1~c12.t1; c11.t1~c13.t2; c15.t0~c17.t1; c15.t1~c17.t2; +1 more
77,circuit_215.jpg,val,data/gt_val_1024,15,9,65,-0.1853,0.6125,0.7979,0,0,0,0.8103,0.9118,0.1795,0,18,4,10,1,split,0.6294,0.7353,0.2991,0,20,33,10,1,weld,0.9538,0.9706,0.2069,0,3,3,9,0,balanced,0.4496,0.7586,0.6294,,
78,circuit_750.jpg,val,data/gt_val_1024,19,9,69,-0.187,0.5032,0.6901,0,0,0,0.7794,0.8919,0.3182,0,16,14,10,1,split,0.4069,0.5946,0.4231,0,22,115,10,1,weld,0.8841,0.9189,0.203,0,8,8,11,2,balanced,0.3231,0.7794,0.4069,,
79,circuit_972.jpg,val,data/gt_val_1024,24,12,106,-0.1881,0.4371,0.6251,0,11,11,0.2763,0.5745,0.462,1,85,25,17,5,split,0.8372,0.9149,0.3373,1,16,19,12,0,weld,0.7619,0.8936,0.3054,1,26,24,13,1,split,0.2065,0.3067,0.7981,,c0.t0~c23.t0; c1.t0~c23.t0; c10.t0~c23.t0; c12.t0~c23.t0; c14.t0~c23.t0; c16.t0~c23.t0; +5 more
80,circuit_835.jpg,val,data/gt_val_1024,22,12,76,-0.2011,0.5915,0.7925,0,0,0,0.4228,0.6742,0.45,0,50,21,16,4,split,1.0,0.9888,0.2911,0,0,0,13,1,balanced,0.9548,0.9663,0.2102,0,2,5,13,1,weld,0.4228,0.3968,0.9548,,
81,circuit_1074.jpg,val,data/gt_val_1024,28,14,115,-0.2471,0.4773,0.7245,0,1,1,0.3529,0.6296,0.4564,0,85,25,19,5,split,0.8594,0.9074,0.3723,0,8,27,13,-1,weld,0.961,0.963,0.2316,0,4,5,14,0,weld,0.2646,0.3275,0.84,,c1.t1~c25.t0
